 plgrid/tools/gcc/4.9.2 loaded.
 plgrid/tools/java7/oracle/1.7.0_51 loaded.
 plgrid/tools/openmpi/1.10.2-gnu-4.9.2-ib loaded.
3.141592 1047.846675 10000000000
3.141591 1270.057230 20000000000
3.141599 1104.898190 30000000000
3.141610 1105.597797 40000000000
3.141601 1115.667793 50000000000
3.141583 1123.232908 60000000000
3.141595 1096.177320 70000000000
3.141605 1296.368183 80000000000
3.141563 1300.267320 90000000000
3.141552 1298.206342 100000000000
3.141582 1295.200851 110000000000
3.141584 1288.068390 120000000000
3.141590 1039.499970 10000000000
3.141596 632.808140 10000000000
3.141563 355.771080 9999999999
3.141534 268.439110 10000000000
3.141622 213.956559 10000000000
3.141632 184.802930 9999999996
3.141637 152.936843 9999999996
3.141547 158.722032 10000000000
3.141574 140.667822 9999999999
3.141553 125.105819 10000000000
3.141678 114.982019 9999999999
3.141560 107.065914 9999999996
