 plgrid/tools/gcc/4.9.2 loaded.
 plgrid/tools/java7/oracle/1.7.0_51 loaded.
 plgrid/tools/openmpi/1.10.2-gnu-4.9.2-ib loaded.
3.141506 107.104886 1000000000
3.141583 112.251960 2000000000
3.141554 112.699300 3000000000
3.141574 108.847237 4000000000
3.141524 112.566996 5000000000
3.141572 109.169443 6000000000
3.141575 125.508617 7000000000
3.141535 123.551122 8000000000
3.141559 125.558714 9000000000
3.141556 128.866177 10000000000
3.141622 130.887310 11000000000
3.141671 129.177496 12000000000
3.141549 86.793061 1000000000
3.141483 51.980547 1000000000
3.141614 36.040632 999999999
3.141495 27.460517 1000000000
3.141685 21.843743 1000000000
3.141732 18.565175 999999996
3.141723 16.797298 999999994
3.141409 15.541279 1000000000
3.141627 14.304038 999999999
3.141428 13.040357 1000000000
3.141959 11.848916 999999990
3.141727 18.214761 999999996
