 plgrid/tools/gcc/4.9.2 loaded.
 plgrid/tools/java7/oracle/1.7.0_51 loaded.
 plgrid/tools/openmpi/1.10.2-gnu-4.9.2-ib loaded.
3.145204 0.106808 1000000
3.145204 0.121564 2000000
3.141636 0.121896 3000000
3.141636 0.132748 4000000
3.141028 0.132772 5000000
3.141640 0.122027 6000000
3.141640 0.121901 7000000
3.141244 0.130911 8000000
3.141244 0.123648 9000000
3.143144 0.141514 10000000
3.139756 0.126186 11000000
3.139756 0.129776 12000000
3.141796 0.117856 1000000
3.142024 0.060667 1000000
3.147567 0.035606 999999
3.150288 0.041290 1000000
3.138860 0.034439 1000000
3.138445 0.020242 999996
3.136311 0.017491 999999
3.134976 0.016569 1000000
3.134847 0.014370 999999
3.136000 0.012252 1000000
3.147939 0.011286 999999
3.147373 0.018603 999996
