 plgrid/tools/gcc/4.9.2 loaded.
 plgrid/tools/java7/oracle/1.7.0_51 loaded.
 plgrid/tools/openmpi/1.10.2-gnu-4.9.2-ib loaded.
3.141561 107.026565 1000000000
3.141544 130.432487 2000000000
3.141615 107.046981 3000000000
3.141580 101.983863 4000000000
3.141605 107.570368 5000000000
3.141644 107.692459 6000000000
3.141598 107.729188 7000000000
3.141602 127.397190 8000000000
3.141692 127.913179 9000000000
3.141706 130.996146 10000000000
3.141655 140.295702 11000000000
3.141621 142.845906 12000000000
3.141609 117.268789 1000000000
3.141621 70.761338 1000000000
3.141537 38.691389 999999999
3.141593 29.306827 1000000000
3.141650 23.391551 1000000000
3.141538 19.829665 999999996
3.141533 18.218140 999999994
3.141524 15.785411 1000000000
3.141385 14.718031 999999999
3.141645 13.509870 1000000000
3.141824 12.852292 999999990
3.141485 11.957664 999999996
