 plgrid/tools/gcc/4.9.2 loaded.
 plgrid/tools/java7/oracle/1.7.0_51 loaded.
 plgrid/tools/openmpi/1.10.2-gnu-4.9.2-ib loaded.
3.141595 1403.332811 10000000000
3.141595 1406.109509 20000000000
3.141586 1123.753514 30000000000
3.141589 1131.834238 40000000000
3.141579 1125.384912 50000000000
3.141567 1117.237048 60000000000
3.141564 1223.632112 70000000000
3.141587 1256.633840 80000000000
3.141593 1212.623486 90000000000
3.141602 1282.156243 100000000000
3.141577 1295.977590 110000000000
3.141575 1313.590274 120000000000
3.141589 1035.959793 10000000000
3.141592 552.603512 10000000000
3.141613 367.804195 9999999999
3.141598 293.789911 10000000000
3.141613 243.262075 10000000000
3.141532 217.788371 9999999996
3.141604 189.394371 9999999996
3.141620 168.585622 10000000000
3.141593 145.514688 9999999999
3.141574 162.582054 10000000000
3.141630 145.431260 9999999999
3.141670 131.520951 9999999996
