 plgrid/tools/gcc/4.9.2 loaded.
 plgrid/tools/java7/oracle/1.7.0_51 loaded.
 plgrid/tools/openmpi/1.10.2-gnu-4.9.2-ib loaded.
3.141593 1219.865963 10000000000
3.141598 1150.282531 20000000000
3.141605 1137.733684 30000000000
3.141611 1071.252005 40000000000
3.141593 1144.207163 50000000000
3.141602 1155.269295 60000000000
3.141607 1239.976637 70000000000
3.141583 1211.353884 80000000000
3.141586 1236.783921 90000000000
3.141563 1213.392716 100000000000
3.141591 1267.075760 110000000000
3.141577 1469.497142 120000000000
3.141578 1210.959612 10000000000
3.141599 605.453160 10000000000
3.141616 396.691635 9999999999
3.141644 291.043237 10000000000
3.141617 246.719594 10000000000
3.141672 204.393402 9999999996
3.141640 181.917209 9999999996
3.141564 157.366868 10000000000
3.141562 141.049480 9999999999
3.141599 127.301718 10000000000
3.141565 119.222767 9999999999
3.141564 111.132157 9999999996
