 plgrid/tools/gcc/4.9.2 loaded.
 plgrid/tools/java7/oracle/1.7.0_51 loaded.
 plgrid/tools/openmpi/1.10.2-gnu-4.9.2-ib loaded.
3.141509 141.296639 1000000000
3.141630 143.647783 2000000000
3.141613 110.193442 3000000000
3.141621 106.494467 4000000000
3.141599 109.313812 5000000000
3.141657 112.316579 6000000000
3.141542 118.232280 7000000000
3.141687 122.909252 8000000000
3.141611 132.285861 9000000000
3.141604 129.156332 10000000000
3.141677 134.469868 11000000000
3.141648 146.721547 12000000000
3.141637 142.015375 1000000000
3.141571 70.437801 1000000000
3.141559 40.163696 999999999
3.141682 29.489901 1000000000
3.141692 21.229835 1000000000
3.141648 21.163730 999999996
3.141461 18.192729 999999994
3.141660 15.937690 1000000000
3.141595 15.441424 999999999
3.141804 14.870747 1000000000
3.141795 12.047295 999999990
3.141710 14.457356 999999996
