 plgrid/tools/gcc/4.9.2 loaded.
 plgrid/tools/java7/oracle/1.7.0_51 loaded.
 plgrid/tools/openmpi/1.10.2-gnu-4.9.2-ib loaded.
3.141652 106.614169 1000000000
3.141521 123.584847 2000000000
3.141615 107.742331 3000000000
3.141625 110.260123 4000000000
3.141475 112.640645 5000000000
3.141599 115.747449 6000000000
3.141672 119.500253 7000000000
3.141601 127.693535 8000000000
3.141545 124.800904 9000000000
3.141582 136.779387 10000000000
3.141579 141.367309 11000000000
3.141582 143.094823 12000000000
3.141635 107.405746 1000000000
3.141526 63.894776 1000000000
3.141555 35.822307 999999999
3.141580 27.284732 1000000000
3.141573 21.781860 1000000000
3.141716 19.721229 999999996
3.141571 17.198155 999999994
3.141440 15.686731 1000000000
3.141382 14.769141 999999999
3.141742 13.170196 1000000000
3.141279 13.103917 999999990
3.141346 13.375226 999999996
