 plgrid/tools/gcc/4.9.2 loaded.
 plgrid/tools/java7/oracle/1.7.0_51 loaded.
 plgrid/tools/openmpi/1.10.2-gnu-4.9.2-ib loaded.
3.139276 0.105924 1000000
3.141860 0.119885 2000000
3.141860 0.105880 3000000
3.141920 0.107308 4000000
3.141920 0.121608 5000000
3.141204 0.132530 6000000
3.141352 0.143452 7000000
3.141352 0.143775 8000000
3.141948 0.125495 9000000
3.142796 0.139558 10000000
3.142796 0.139371 11000000
3.140696 0.183219 12000000
3.140696 0.106840 1000000
3.140032 0.060899 1000000
3.139815 0.035882 999999
3.143120 0.026625 1000000
3.141620 0.024439 1000000
3.142357 0.020793 999996
3.145355 0.017721 999999
3.134240 0.015315 1000000
3.133119 0.014455 999999
3.141840 0.012550 1000000
3.141339 0.011392 999999
3.133165 0.010542 999996
