 plgrid/tools/gcc/4.9.2 loaded.
 plgrid/tools/java7/oracle/1.7.0_51 loaded.
 plgrid/tools/openmpi/1.10.2-gnu-4.9.2-ib loaded.
3.141621 1081.662538 10000000000
3.141576 1311.222713 20000000000
3.141570 1084.170340 30000000000
3.141586 1084.704548 40000000000
3.141604 1090.452617 50000000000
3.141586 1090.347539 60000000000
3.141591 1125.043073 70000000000
3.141591 1200.183486 80000000000
3.141591 1279.241812 90000000000
3.141571 1303.138347 100000000000
3.141571 1339.977467 110000000000
3.141595 1366.968107 120000000000
3.141604 968.611507 10000000000
3.141610 599.002747 10000000000
3.141619 357.730397 9999999999
3.141589 268.056886 10000000000
3.141615 217.662636 10000000000
3.141610 189.859634 9999999996
3.141557 174.631031 9999999996
3.141609 161.991353 10000000000
3.141648 142.218829 9999999999
3.141581 134.315124 10000000000
3.141681 123.962656 9999999999
3.141584 118.412593 9999999996
