 plgrid/tools/gcc/4.9.2 loaded.
 plgrid/tools/java7/oracle/1.7.0_51 loaded.
 plgrid/tools/openmpi/1.10.2-gnu-4.9.2-ib loaded.
3.140436 0.106540 1000000
3.140436 0.122159 2000000
3.141788 0.106867 3000000
3.141788 0.121507 4000000
3.139752 0.132944 5000000
3.139752 0.133387 6000000
3.139316 0.127384 7000000
3.139316 0.133663 8000000
3.139228 0.126822 9000000
3.138720 0.133198 10000000
3.138720 0.164882 11000000
3.138424 0.143195 12000000
3.143136 0.106185 1000000
3.142528 0.060881 1000000
3.146199 0.045564 999999
3.146384 0.026822 1000000
3.144040 0.024247 1000000
3.139981 0.020408 999996
3.138411 0.017245 999999
3.137408 0.015264 1000000
3.136215 0.013656 999999
3.140720 0.012882 1000000
3.142615 0.011333 999999
3.134893 0.010982 999996
